函数名,训练集,训练集%,开发集,开发集%,总计,总计%
op_eq,21513,5.03,3345,4.78,24858,5.00
build_from,10255,2.40,1683,2.40,11938,2.40
build_join,9593,2.24,1428,2.04,11021,2.22
op_and,4795,1.12,807,1.15,5602,1.13
op_count,3590,0.84,550,0.79,4140,0.83
op_cast,1834,0.43,392,0.56,2226,0.45
build_limit,1856,0.43,302,0.43,2158,0.43
build_order_by,1750,0.41,309,0.44,2059,0.41
op_sum,1542,0.36,251,0.36,1793,0.36
op_if,1261,0.30,212,0.30,1473,0.30
op_distinct,1111,0.26,254,0.36,1365,0.27
op_null_if,985,0.23,189,0.27,1174,0.24
op_case,1011,0.24,148,0.21,1159,0.23
build_group_by,1026,0.24,122,0.17,1148,0.23
op_is_null,766,0.18,260,0.37,1026,0.21
op_mul,839,0.20,130,0.19,969,0.19
op_gt,718,0.17,144,0.21,862,0.17
op_like,783,0.18,53,0.08,836,0.17
op_sub,524,0.12,103,0.15,627,0.13
op_timetostr,449,0.11,149,0.21,598,0.12
op_tsordstotimestamp,449,0.11,149,0.21,598,0.12
op_lt,348,0.08,100,0.14,448,0.09
op_between,312,0.07,77,0.11,389,0.08
op_avg,321,0.08,57,0.08,378,0.08
op_substring,218,0.05,104,0.15,322,0.06
op_not,205,0.05,91,0.13,296,0.06
op_max,245,0.06,32,0.05,277,0.06
op_in,161,0.04,50,0.07,211,0.04
op_or,138,0.03,46,0.07,184,0.04
op_add,118,0.03,61,0.09,179,0.04
op_gte,121,0.03,54,0.08,175,0.04
op_replace,141,0.03,0,0.00,141,0.03
op_neq,105,0.02,18,0.03,123,0.02
op_min,92,0.02,15,0.02,107,0.02
op_strposition,40,0.01,62,0.09,102,0.02
op_lte,80,0.02,19,0.03,99,0.02
op_neg,50,0.01,3,0.00,53,0.01
op_length,46,0.01,1,0.00,47,0.01
op_trim,28,0.01,0,0.00,28,0.01
op_date_func,14,0.00,12,0.02,26,0.01
op_union,24,0.01,1,0.00,25,0.01
op_current_timestamp,10,0.00,12,0.02,22,0.00
op_julianday,14,0.00,5,0.01,19,0.00
op_lower,14,0.00,0,0.00,14,0.00
op_round,10,0.00,4,0.01,14,0.00
op_concat,5,0.00,3,0.00,8,0.00
op_timestampdiff,5,0.00,0,0.00,5,0.00
op_rank,0,0.00,4,0.01,4,0.00
op_row_number,4,0.00,0,0.00,4,0.00
op_datediff,3,0.00,0,0.00,3,0.00
op_exists,0,0.00,3,0.00,3,0.00
op_group_concat,3,0.00,0,0.00,3,0.00
op_except,0,0.00,2,0.00,2,0.00
op_dense_rank,0,0.00,1,0.00,1,0.00
op_time,1,0.00,0,0.00,1,0.00
op_abs,0,0.00,1,0.00,1,0.00
